Data,Acao,Valor,Ano
03-07-2023,ABCP11,0.5,2023
03-10-2022,ABCP11,0.52,2022
01-02-2016,ABEV3,0.13,2016
01-02-2018,ABEV3,0.07,2018
01-11-2016,ABEV3,0.16,2016
02-01-2015,ABEV3,0.13,2015
02-03-2015,ABEV3,0.09,2015
02-06-2015,ABEV3,0.1,2015
08-01-2015,ABEV3,0.96,2015
09-09-2015,ABEV3,0.15,2015
12-07-2016,ABEV3,0.13,2016
14-01-2021,ABEV3,0.0767,2021
18-06-2018,ABEV3,0.16,2018
18-12-2020,ABEV3,0.4137,2020
19-12-2017,ABEV3,0.31,2017
19-12-2018,ABEV3,0.32,2018
20-12-2019,ABEV3,0.4906,2019
20-12-2021,ABEV3,0.6036,2021
20-12-2022,ABEV3,0.7623,2022
20-12-2023,ABEV3,0.7302,2023
20-12-2024,ABEV3,0.6676,2024
22-12-2015,ABEV3,0.15,2015
22-12-2016,ABEV3,0.22,2016
24-01-2017,ABEV3,0.07,2017
26-06-2017,ABEV3,0.16,2017
10-01-2018,ABTT34,0.075052,2018
10-10-2017,ABTT34,0.072224,2017
10-10-2018,ABTT34,0.08774,2018
11-01-2017,ABTT34,0.067984,2017
11-01-2019,ABTT34,0.099027,2019
11-01-2024,ABTT34,0.159633,2024
11-04-2017,ABTT34,0.068112,2017
11-04-2018,ABTT34,0.08575,2018
11-04-2019,ABTT34,0.106248,2019
11-07-2018,ABTT34,0.091014,2018
11-10-2016,ABTT34,0.073959,2016
11-10-2023,ABTT34,0.144496,2023
12-01-2023,ABTT34,0.222811,2023
12-04-2024,ABTT34,0.164472,2024
12-07-2017,ABTT34,0.06943,2017
12-07-2019,ABTT34,0.106861,2019
12-07-2024,ABTT34,0.175258,2024
13-01-2015,ABTT34,0.056722,2015
13-01-2016,ABTT34,0.08622,2016
13-01-2022,ABTT34,0.202194,2022
13-04-2015,ABTT34,0.060142,2015
13-04-2016,ABTT34,0.075697,2016
13-04-2022,ABTT34,0.194545,2022
13-04-2023,ABTT34,0.208747,2023
13-07-2015,ABTT34,0.069038,2015
13-07-2016,ABTT34,0.068904,2016
13-07-2023,ABTT34,0.207919,2023
13-10-2015,ABTT34,0.075812,2015
13-10-2022,ABTT34,0.208359,2022
14-01-2020,ABTT34,0.130671,2020
14-04-2020,ABTT34,0.174573,2020
14-07-2020,ABTT34,0.151119,2020
14-07-2021,ABTT34,0.197171,2021
14-10-2019,ABTT34,0.111603,2019
14-10-2020,ABTT34,0.161868,2020
14-10-2021,ABTT34,0.206201,2021
14-10-2024,ABTT34,0.173856,2024
09-04-2019,ACNB34,5.83489,2019
09-10-2020,ACNB34,4.9023,2020
09-10-2024,ACNB34,8.05209,2024
10-04-2018,ACNB34,4.8811,2018
10-07-2024,ACNB34,5.286904,2024
11-01-2023,ACNB34,5.87664,2023
11-04-2017,ACNB34,3.73285,2017
11-10-2022,ACNB34,5.959184,2022
11-10-2023,ACNB34,6.241407,2023
12-01-2022,ACNB34,4.98386,2022
12-04-2023,ACNB34,5.89411,2023
12-07-2023,ACNB34,5.545904,2023
13-04-2016,ACNB34,3.85165,2016
13-04-2022,ACNB34,4.80247,2022
13-07-2022,ACNB34,3.733529,2022
13-10-2021,ACNB34,5.290865,2021
14-07-2021,ACNB34,4.63628,2021
14-10-2015,ACNB34,4.34192,2015
15-01-2020,ACNB34,3.4416,2020
15-04-2020,ACNB34,4.564,2020
15-07-2020,ACNB34,4.328,2020
16-10-2018,ACNB34,5.4969,2018
16-10-2019,ACNB34,3.3444,2019
17-01-2024,ACNB34,4.798707,2024
17-10-2017,ACNB34,4.3757,2017
19-04-2024,ACNB34,4.953604,2024
19-10-2016,ACNB34,4.14425,2016
06-12-2021,AFLT3,0.190442,2021
08-04-2021,AFLT3,0.122615,2021
08-09-2016,AFLT3,0.118887,2016
11-04-2024,AFLT3,0.113785,2024
13-04-2017,AFLT3,0.096276,2017
13-12-2019,AFLT3,0.105651,2019
19-04-2022,AFLT3,0.236234,2022
21-09-2017,AFLT3,0.122287,2017
24-04-2023,AFLT3,0.480211,2023
24-09-2020,AFLT3,0.173956,2020
24-10-2018,AFLT3,0.104383,2018
26-06-2024,AFLT3,0.127242,2024
26-12-2024,AFLT3,0.086804,2024
28-03-2018,AFLT3,0.076133,2018
29-04-2015,AFLT3,0.124671,2015
29-04-2016,AFLT3,0.190242,2016
30-07-2020,AFLT3,0.29471,2020
03-10-2017,AGRO3,0.241108,2017
08-04-2022,AGRO3,2.016293,2022
08-11-2016,AGRO3,0.401082,2016
17-10-2018,AGRO3,0.762051,2018
17-10-2019,AGRO3,0.92933,2019
19-10-2020,AGRO3,0.709664,2020
23-10-2024,AGRO3,1.555983,2024
24-10-2016,AGRO3,0.182998,2016
25-10-2023,AGRO3,3.212353,2023
28-10-2021,AGRO3,2.621181,2021
28-10-2022,AGRO3,3.238673,2022
29-10-2015,AGRO3,1.3977,2015
06-12-2016,AIGB34,1.04352,2016
06-12-2017,AIGB34,1.06208,2017
10-12-2018,AIGB34,1.25408,2018
11-12-2019,AIGB34,1.29136,2019
12-06-2017,AIGB34,1.05008,2017
12-06-2018,AIGB34,1.2264,2018
12-06-2020,AIGB34,1.70288,2020
13-03-2017,AIGB34,0.99904,2017
13-03-2018,AIGB34,1.05568,2018
13-03-2019,AIGB34,1.23776,2019
13-03-2020,AIGB34,1.65456,2020
13-03-2024,AIGB34,1.258404,2024
13-06-2019,AIGB34,1.22208,2019
13-06-2024,AIGB34,1.542909,2024
13-09-2017,AIGB34,1.01312,2017
13-09-2018,AIGB34,1.29168,2018
13-09-2024,AIGB34,2.2646,2024
13-12-2023,AIGB34,1.224762,2023
13-12-2024,AIGB34,1.725444,2024
14-06-2021,AIGB34,1.59232,2021
14-09-2023,AIGB34,1.270204,2023
14-12-2022,AIGB34,1.70496,2022
15-06-2022,AIGB34,1.69664,2022
15-06-2023,AIGB34,1.714752,2023
15-09-2021,AIGB34,1.72352,2021
15-09-2022,AIGB34,1.66656,2022
15-12-2021,AIGB34,1.816,2021
16-03-2022,AIGB34,1.48864,2022
16-03-2023,AIGB34,1.61984,2023
16-09-2019,AIGB34,1.33008,2019
16-09-2020,AIGB34,1.7968,2020
01-07-2024,ALMI11,6.267812,2024
01-10-2024,ALMI11,3.0,2024
01-11-2024,ALMI11,5.0,2024
02-12-2024,ALMI11,7.0,2024
01-10-2015,ALPA3,0.124283,2015
03-01-2022,ALPA3,0.148322,2022
04-11-2021,ALPA3,0.247202,2021
05-03-2018,ALPA3,0.06216,2018
08-09-2015,ALPA3,0.050542,2015
08-12-2015,ALPA3,0.150797,2015
14-03-2016,ALPA3,0.03512,2016
14-08-2017,ALPA3,0.06183,2017
14-11-2016,ALPA3,0.101897,2016
15-05-2017,ALPA3,0.060017,2017
15-08-2016,ALPA3,0.052597,2016
16-03-2015,ALPA3,0.288399,2015
16-05-2016,ALPA3,0.029019,2016
17-02-2020,ALPA3,0.05019,2020
18-05-2015,ALPA3,0.04558,2015
