Ano,Acao,Valor
2017,AXPB34,0.416048
2018,AXPB34,0.518103
2019,AXPB34,0.640761
2020,AXPB34,0.90767
2021,AXPB34,0.909794
2022,AXPB34,1.030294
2023,AXPB34,1.15282
2024,AXPB34,1.290967
2015,AZEV3,0.15684
2015,AZEV4,0.244938
2015,B3SA3,0.266364
2016,B3SA3,0.16785699999999998
2017,B3SA3,0.150912
2018,B3SA3,0.234043
2019,B3SA3,0.26807800000000004
2020,B3SA3,0.53844
2021,B3SA3,0.913718
2022,B3SA3,0.469106
2023,B3SA3,0.48723299999999997
2024,B3SA3,0.40162
2015,BALM3,0.35
2016,BALM3,0.21
2017,BALM3,0.15
2018,BALM3,0.12
2019,BALM3,0.14
2020,BALM3,0.352
2021,BALM3,0.34
2022,BALM3,0.251416
2023,BALM3,0.992353
2024,BALM3,0.717647
2015,BALM4,0.0875
2016,BALM4,0.39
2017,BALM4,0.15
2018,BALM4,0.12
2019,BALM4,0.14
2020,BALM4,0.26
2021,BALM4,0.41
2022,BALM4,0.251416
2023,BALM4,0.992353
2024,BALM4,0.717647
2022,BARI11,10.700000000000001
2023,BARI11,9.5692
2024,BARI11,9.5317
2015,BAUH4,0.45614
2016,BAUH4,0.2642
2017,BAUH4,0.3679
2018,BAUH4,0.45078
2019,BAUH4,0.48088
2020,BAUH4,0.85795
2021,BAUH4,0.6739
2023,BAUH4,1.20933
2024,BAUH4,0.8189
2015,BAZA3,2.913749
2016,BAZA3,3.070068
2017,BAZA3,0.627458
2018,BAZA3,0.636477
2019,BAZA3,1.427314
2020,BAZA3,3.553427
2021,BAZA3,2.575651
2022,BAZA3,6.809764
2023,BAZA3,5.55926
2024,BAZA3,6.625162
2015,BBAS3,1.03082
2016,BBAS3,0.456858
2017,BBAS3,0.472985
2018,BBAS3,0.758128
2019,BBAS3,1.8672619999999998
2020,BBAS3,0.738455
2021,BBAS3,1.1331339999999999
2022,BBAS3,1.217537
2023,BBAS3,1.4929729999999997
