"Ticker","Nome","Negócios","Última (R$)","Variação"
"PDGR3","PDG Realty","3.480.200","0,71","-43,20%"
"ALPA4","Alpargatas","3.411.900","6,33","-0,94%"
"SANB11","Banco Santander","3.410.200","25,19","-4,11%"
"BHIA3","Casas Bahia","3.380.500","2,65","-3,64%"
"TEND3","Construtora Tenda","3.108.100","14,73","-4,54%"
"PSSA3","Porto Seguro","3.097.300","38,02","-1,71%"
"SLCE3","SLC Agrícola","2.718.100","18,04","-0,72%"
"DXCO3","Dexco","2.654.400","5,65","-3,91%"
"IRBR3","IRB Brasil RE","2.609.200","47,14","-2,60%"
"RCSL4","Recrusul","2.607.200","0,76","-3,80%"
"RECV3","PetroRecôncavo","2.557.800","15,89","-2,81%"
"GRND3","Grendene","2.505.900","5,59","+2,95%"
"QUAL3","Qualicorp","2.457.100","1,78","-1,11%"
"BRAP4","Bradespar","2.433.500","16,60","-2,06%"
"KLBN4","Klabin","2.254.000","3,97","-2,70%"
"AZZA3","Arezzo","2.143.100","26,00","-3,95%"
"ISAE4","ISA Energia","2.091.900","23,20","-1,02%"
"CLSA3","ClearSale","2.062.900","10,38","+0,00%"
"CSMG3","COPASA","2.021.900","23,27","+2,42%"
"TAEE11","Taesa","2.001.400","32,79","-0,55%"
"GOLL4","GOL","1.958.400","1,39","-1,42%"
"SAPR4","Sanepar","1.953.100","5,36","+0,00%"
"BPAN4","Banco Pan","1.944.700","7,08","+2,31%"
"BRSR6","Banrisul","1.751.700","10,80","-2,35%"
"OIBR3","Oi","1.644.400","1,13","+1,80%"
"DIRR3","Direcional","1.610.600","29,35","-1,94%"
"ODPV3","Odontoprev","1.579.700","10,61","-2,30%"
"AGRO3","BrasilAgro","1.541.300","20,77","+3,90%"
"GUAR3","Guararapes","1.494.300","6,14","+0,66%"
"TTEN3","3tentos","1.462.500","14,68","+0,55%"
"GFSA3","Gafisa","1.434.900","1,10","-1,79%"
"VVEO3","Viveo","1.411.700","1,33","-2,21%"
"CURY3","Cury","1.363.300","21,21","-3,37%"
"POMO3","Marcopolo","1.341.200","5,75","+3,98%"
"PORT3","Wilson Sons","1.324.600","16,56","-0,84%"
"SMTO3","São Martinho","1.270.400","21,17","-3,77%"
"MYPK3","Iochpe-Maxion","1.209.300","12,74","-0,55%"
"MDNE3","Moura Dubeux","1.147.900","12,15","+2,70%"
"NEOE3","Neoenergia","1.122.700","19,45","-0,71%"
"PLPL3","Plano&Plano","1.002.800","9,93","-2,93%"
"SAPR11","Sanepar","987.600","27,26","-0,47%"
"ALUP11","Alupar","981.700","27,61","-2,16%"
"EVEN3","Even","958.800","5,68","-1,56%"
"JALL3","Jalles Machado","934.700","4,10","-1,91%"
"MATD3","Mater Dei","913.500","3,70","-0,27%"
"MLAS3","Multilaser","860.600","1,13","-4,24%"
"ITUB3","Itaú Unibanco","851.300","28,54","-1,79%"
"RCSL3","Recrusul","836.200","3,12","-7,14%"
"PGMN3","Pague Menos","798.900","2,82","-2,42%"
"AMER3","Americanas","783.500","5,42","-1,09%"
"VULC3","Vulcabras","780.300","15,79","-1,62%"
"POSI3","Positivo","763.500","5,00","-1,19%"
"CSED3","Cruzeiro do Sul Educacional","759.400","3,38","-2,03%"
"WIZC3","Wiz Soluções","733.600","6,03","+0,84%"
"DASA3","Dasa","728.100","1,67","-1,18%"
"AMAR3","Lojas Marisa","721.100","1,35","+7,14%"
"SYNE3","SYN","639.200","4,50","-6,25%"
"CASH3","Méliuz","637.900","3,22","-4,73%"
"HBRE3","HBR Realty","617.600","2,74","-1,79%"
